INITIAL : 	 1000 	 0 ms - with  8  cpu
DEDUCT  : 	 1100 	 17000 ms
ADD     : 	 1200 	 17000 ms
DEDUCT  : 	 1100 	 17000 ms
ADD     : 	 1200 	 17000 ms
DEDUCT  : 	 1100 	 17000 ms
DEDUCT  : 	 1100 	 17000 ms
ADD     : 	 1200 	 17000 ms
ADD     : 	 1200 	 17000 ms
DEDUCT  : 	 1100 	 17000 ms
ADD     : 	 1200 	 17000 ms
DEDUCT  : 	 1100 	 17000 ms
ADD     : 	 1200 	 17000 ms
DEDUCT  : 	 1100 	 17000 ms
ADD     : 	 1200 	 17000 ms
DEDUCT  : 	 1100 	 17000 ms
ADD     : 	 1200 	 17000 ms
DEDUCT  : 	 1100 	 17500 ms
DEDUCT  : 	 1100 	 17500 ms
ADD     : 	 1200 	 17500 ms
DEDUCT  : 	 1100 	 17500 ms
ADD     : 	 1200 	 17500 ms
ADD     : 	 1200 	 17500 ms
DEDUCT  : 	 1100 	 17500 ms
ADD     : 	 1200 	 17500 ms
DEDUCT  : 	 1100 	 17500 ms
ADD     : 	 1200 	 17500 ms
DEDUCT  : 	 1100 	 17500 ms
DEDUCT  : 	 1100 	 17500 ms
ADD     : 	 1200 	 17500 ms
ADD     : 	 1100 	 17500 ms
DEDUCT  : 	 1000 	 17500 ms
ADD     : 	 1200 	 17500 ms
DEDUCT  : 	 1100 	 17500 ms
ADD     : 	 1200 	 17500 ms
DEDUCT  : 	 1100 	 17500 ms
DEDUCT  : 	 1100 	 17500 ms
ADD     : 	 1200 	 17500 ms
ADD     : 	 1200 	 17500 ms
ADD     : 	 1200 	 17500 ms
DEDUCT  : 	 1100 	 17500 ms
DEDUCT  : 	 1100 	 17500 ms
DEDUCT  : 	 1100 	 17500 ms
ADD     : 	 1200 	 17500 ms
DEDUCT  : 	 1100 	 17500 ms
ADD     : 	 1200 	 17500 ms
RESULT : 	 1100 	 17500 ms
